Event_num,,Start,Dur,Amp,Freq,FModA,ixA1,ixA2,FModB,ixB1 (always 0),ixB2,att,dec,skew,dis,rev,,,,,,ch1,ch2,ch3,ch4,,,ampF,skwF,IAF,IBF,,,,,,,
21,i1,67.61249632,10.92359678,159.3196437,2481.630964,6496.909864,0.058072657,0.232290627,4015.2789,0,1.032290627,2.184719356,3.637557727,0.00647615,0.121087015,0.18,0,0,0,0,0,0.677819729,0,0,0.735228138,0,0,2,6,2,4,,,,,,,
22,i1,68.24765529,11.40899697,167.1609265,2352.433547,6158.671026,0.060473322,0.241893288,3806.237479,0,1.041893288,2.281799395,3.799195992,0.006932142,0.10881882,0.18,0,0,0,0,0,0.982764317,0.184862916,0,0,0,0,2,6,2,4,,,,,,,
23,i1,69.91494757,10.72222057,217.3497654,1706.861775,4468.564127,0.07558302,0.302332078,2761.702352,0,1.102332078,2.144444114,3.57049945,0.009927559,0.09903347,0.18,0,0,0,0,0,0.602774947,0.79791125,0,0,0,0,2,6,2,4,,,,,,,
24,i1,78.22123894,37.87824186,244.0985554,1453.91443,3806.347976,0.083476799,0.333907196,2352.433547,0,1.133907196,7.575648371,12.61345454,0.011571744,0.158489319,0.15,0,0,0,0,0,0,0.704500885,0.70970311,0,0,0,2,6,2,4,,,,,,,
25,i1,84.16814159,39.14384546,183.3231559,2113.867168,5534.104247,0.065385462,0.261541848,3420.237078,0,1.061541848,7.828769091,13.03490054,0.007882835,0.136979319,0.15,0,0,0,0,0,0,0.324003542,0.946055868,0,0,0,2,6,2,4,,,,,,,
26,i1,93.83185841,36.56131115,175.1645518,2229.962341,5838.041408,0.062911735,0.251646938,3608.079067,0,1.051646938,7.312262231,12.17491661,0.007401162,0.121087015,0.15,0,0,0,0,0,0,0,0.834338456,0.551252521,0,0,2,6,2,4,,,,,,,
27,i1,96.0619469,38.35910834,226.1631791,1618,4235.924,0.078195191,0.312780762,2617.924,0,1.112780762,7.671821668,12.77358308,0.01046592,0.10881882,0.15,0,0,0,0,0,0,0,0.519228165,0.854635661,0,0,2,6,2,4,,,,,,,
28,i1,99.77876106,38.42605349,200.074273,1899.494424,4972.876402,0.070428837,0.28171535,3073.381978,0,1.08171535,7.685210698,12.79587581,0.00888249,0.09903347,0.15,0,0,0,0,0,0.417917194,0,0,0.908485123,0,0,2,6,2,4,,,,,,,
29,i1,115.3893805,26.76408383,191.6290508,2003.816084,5245.990509,0.06789201,0.27156804,3242.174424,0,1.07156804,5.352816766,8.912439916,0.008376755,0.09102821,0.15,0,0,0,0,0,0.79791125,0,0,0.602774947,0,0,2,6,2,4,,,,,,,
30,i1,121.3362832,22.66371681,309.2244721,1000,2618,0.102306118,0.409224472,1618,0,1.209224472,4.532743363,7.547017699,0.015691835,0.084345488,0.15,0,0,0,0,0,0.939982785,0.34122187,0,0,0,0,2,6,2,4,,,,,,,
31,i1,131,7.168041071,226.1631791,1618,4235.924,0.195487977,0.781951906,618.076,0,2.781951906,2.386957677,2.386957677,0.01046592,0.574349177,0.15,0,0,0,0,0,0.89213423,0,0,0.451770424,0,0,2,6,3,4,,,,,,,
32,i1,136.7121212,10.38355211,262.3881752,1306.469202,3420.33637,0.222044807,0.888179227,499.0712351,0,2.888179227,3.457722854,3.457722854,0.012712849,0.329876978,0.15,0,0,0,0,0,0.794343164,0.60746929,0,0,0,0,2,6,3,4,,,,,,,
33,i1,138.030303,13.69287484,253.2033484,1378.221471,3608.183812,0.215352905,0.861411618,526.4806021,0,2.861411618,4.559727322,4.559727322,0.012138154,0.238494847,0.15,0,0,0,0,0,0.128652612,0.991689722,0,0,0,0,2,6,3,4,,,,,,,
34,i1,140.2272727,15.8322771,309.2244721,1000,2618,0.255765295,1.02306118,382,0,3.02306118,5.272148276,5.272148276,0.015691835,0.189464571,0.15,0,0,0,0,0,0,0.59547821,0.80337146,0,0,0,2,6,3,4,,,,,,,
35,i1,140.2272727,2.280740341,253.2033484,1378.221471,3608.183812,0.215352905,0.861411618,526.4806021,0,2.861411618,0.759486533,0.759486533,0.012138154,0.574349177,0.18,0,0,0,0,0,0.89213423,0,0,0.451770424,0,0,2,6,3,4,,,,,,,
